iter	Passed	Remaining
340	690	1333
341	691	1331
342	693	1327
343	694	1324
344	696	1321
345	697	1318
346	699	1315
347	700	1312
348	702	1309
349	703	1306
350	705	1304
351	708	1303
352	710	1302
353	714	1304
354	717	1302
355	718	1300
356	720	1298
357	722	1295
358	723	1292
359	725	1289
360	727	1287
361	728	1284
362	730	1281
363	732	1279
364	733	1276
365	735	1274
366	737	1271
367	738	1268
368	739	1265
369	741	1262
370	742	1259
371	743	1255
372	745	1252
373	746	1249
374	747	1246
375	749	1243
376	750	1240
377	751	1236
378	752	1233
379	753	1229
380	755	1226
381	756	1223
382	757	1220
383	758	1217
384	759	1213
385	761	1210
386	762	1207
387	763	1203
388	765	1201
389	766	1199
390	768	1196
391	769	1193
392	770	1190
393	772	1187
394	773	1184
395	775	1182
396	776	1179
397	777	1176
398	779	1173
399	780	1170
400	781	1167
401	782	1164
402	784	1161
403	785	1159
404	787	1156
405	788	1153
406	789	1150
407	791	1148
408	792	1145
409	793	1142
410	794	1139
411	796	1136
412	797	1133
413	798	1130
414	800	1127
415	801	1125
416	803	1123
417	804	1120
418	806	1117
419	807	1115
420	809	1112
421	810	1109
422	811	1107
423	812	1104
424	813	1101
425	815	1098
426	816	1095
427	817	1092
428	818	1089
429	819	1086
430	820	1083
431	821	1080
432	822	1077
433	824	1074
434	825	1072
435	826	1068
436	827	1066
437	828	1063
438	829	1060
439	830	1057
440	832	1054
441	833	1051
442	834	1049
443	837	1048
444	839	1047
445	841	1045
446	843	1043
447	845	1041
448	847	1039
449	849	1037
450	852	1038
451	854	1036
452	856	1034
453	858	1032
454	859	1029
